accession	uniprot_accession	source_database	source_release	organism	lifestyle	length	cysteine_count	cysteine_fraction	publication_year	functional_evidence	experiment	q4_tool_independent	sequence_sha256
Q8H6Z6	Q8H6Z6	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans; Phytophthora infestans (Potato late blight agent) (Botrytis infestans)	hemibiotroph	431	4	0.009281	unknown	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter;pooe_positive_sequences	yes	bea29e91e6038903a00e26db10a7771130f19f63dc0a460b5c4381ce1c2b10fa
Q8J180		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Magnaporthe oryzae	hemibiotroph	89	3	0.033708	2012	hypersensitive response assay	PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	21adfd0a7415218547e6e4f1c809f639b9c86904f7bb8cb8eb3843ae6221281a
Q8NID8		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Fulvia fulva; Passalora fulva	biotroph	78	8	0.102564	2002	hypersensitive response assay	Gene mutation; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	3ff3e3158cebf3d0b99478c5fb4315b96a938e018aef7ac712671801c8b68173
Q945T9	Q945T9	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae; Phytophthora sojae (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	289	6	0.020761	unknown	hypersensitive response assay	Biochemical analysis; PEACE source memberships: EffHunter_positive;EffectorP_3.0_positives;WideEffHunter;fungtion_positive_sequences;pooe_positive_sequences	yes	c3ed069a0caf089cbd1caf97314a854964be6729b17c16d1f76784e3539a9264
Q945U0	Q945U0	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae; Phytophthora sojae (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	257	6	0.023346	unknown	hypersensitive response assay	Biochemical analysis; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter	yes	72989cd52c82d131c1e627243050ecf2ccd6c7c966d2efe6f90fbfc7d022733c
Q94FS7		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora cactorum	hemibiotroph	73	7	0.095890	unknown	hypersensitive response assay	Functional test in host: direct injection; PEACE source memberships: EffHunter_positive;EffectorP_3.0_positives;WideEffHunter;fungtion_positive_sequences	yes	89a649a149e7b8d429a79be43329b409717828a625d5b224a50785c55e5f513e
Q9AT28	Q9AT28	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora nicotianae; Phytophthora nicotianae (Potato buckeye rot agent) (Phytophthora parasitica)	hemibiotroph	237	2	0.008439	unknown	hypersensitive response assay	Functional test in host: direct injection; PEACE source memberships: EffectorP_3.0_positives	yes	02d88ab226d9dbef81904b74c470efa136b3f4b3e5308bf71e2b7b591065d17c
Q9AXL8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae	hemibiotroph	237	3	0.012658	unknown	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives	yes	a6dbdf9f028e215f5eff7b4b9da9d32ffda4bc10341c444d4e543d52ec67f068
Q9C478		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	223	8	0.035874	2001	hypersensitive response assay	Altered gene expression / gene regulation	yes	528e19492ea3574a461ceca7e40022d2586886adc22b2f03c43fd7905c802789
Q9SPD4		PHI-base	v4.19	Pythium aphanidermatum	unknown	234	2	0.008547	unknown	hypersensitive response assay	Functional test in host: direct injection	yes	50dc2b18ccaefedc5440b23aba2351ecbd186af3c5a7f5bf4af6eed5618f6d23
R0J3Y1		PHI-base	v4.19	Exserohilum turcicum	unknown	785	7	0.008917	2025	hypersensitive response assay	Gene deletion: full	yes	2ee291f3b4df59c45dc77eb53672e10eb4431ea1fd5f439556966e9d0b61b374
R0K2C5		PHI-base	v4.19	Exserohilum turcicum	unknown	135	4	0.029630	2022	hypersensitive response assay	Altered gene expression / gene regulation: silencing	yes	78ece6f605fa9b958dd1234cce9cb485548e0dbce93b4b31329fa2fce0cbc7ab
R0KGT7		PHI-base	v4.19	Exserohilum turcicum	unknown	993	4	0.004028	2022	hypersensitive response assay	Gene deletion: full	yes	7de2bf34e627997bb4f24d1b1642669e31b4dfe1d5bf19b8615118590799a12e
R9RX08		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Magnaporthe oryzae	hemibiotroph	85	2	0.023529	2013	hypersensitive response assay	PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	f5d059364dec052e3dafbb5387f0a20615ed6debfdbf3b2668a2206d304b7e37
V5TFR9		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Leptosphaeria maculans	hemibiotroph	141	7	0.049645	2013	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffHunter_positive;EffectorP_2.0_validation;EffectorP_3.0_positives;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	2510fb9c50e241f29c68b615b3b63c7a17fa8bbd004aff8d1578604349cb54ba
W2PVL9		PHI-base	v4.19	Phytophthora nicotianae	hemibiotroph	517	1	0.001934	2022	hypersensitive response assay	Altered gene expression / gene regulation: overexpression; other evidence: transgenic plants	yes	9fbe11cc1b6d61114591d07e07de55ee3e9000efdde8e6a3d81ffe55f0f8d4f8
W2RAR9		PHI-base	v4.19	Phytophthora nicotianae	hemibiotroph	201	2	0.009950	2022	hypersensitive response assay	Altered gene expression / gene regulation: overexpression; other evidence: transgenic plants	yes	ea475ce52c56924942561dbac2cc8846da9b76e4ad0c7dd9013b76bc4ff87205
W9ZT25		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Fusarium oxysporum	hemibiotroph	167	2	0.011976	2015	hypersensitive response assay	Gene mutation; gene complementation; PEACE source memberships: EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	8a186081d60373b6dfd0a509c7845c30e7a7674323e406e9572317c33c5d6ef3
X0J790		PHI-base	v4.19	Fusarium oxysporum	hemibiotroph	278	8	0.028777	2024	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	5a56d36739721eb0c70de7e167408348cc4c2c3b80def30bb958e1ab971c2b15
X0JFE5		PHI-base	v4.19	Fusarium oxysporum	hemibiotroph	242	4	0.016529	2022	hypersensitive response assay	Gene deletion: full; gene complementation	yes	b9023bbf7e767ca584408be918552fbc215f2fb5eeab2ca5b0f46dc8b8a1b839
X0K540		PHI-base	v4.19	Fusarium oxysporum	hemibiotroph	210	0	0.000000	2025	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	09ade386e3a45ddfd40c3b98a9a33bbf43341487c6bccd12041f1e4d4634b7d6
X0KJP1		PHI-base	v4.19	Fusarium oxysporum	hemibiotroph	350	8	0.022857	2021	hypersensitive response assay	Gene deletion: full; gene complementation	yes	1e63a9544e9051c023c321cde0449d00dcdd1f5de44005c14b8dc36a58290bfa
X0L985		PHI-base	v4.19	Fusarium oxysporum	hemibiotroph	256	16	0.062500	2023	hypersensitive response assay	Gene deletion: full	yes	3064c568a44bde40a2637732d6f6879def10b46cc0b57fb443bde6521f23d6d7
ZtAvrStb6		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Zymoseptoria tritici	hemibiotroph	82	12	0.146341	2017	hypersensitive response assay	PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	fa10c86e8f6dd6a0fc8c276cf958629747418d82a4b70b7ebb9af48b9defd135
